assay	context
SMARCB1	Cervix
SMARCB1	epithelioidsarcoma
SMARCC1	Brain
SMARCC1	Cervix
SMARCC1	Kidney
SMARCC1	Liver
SMARCC1	epithelioidsarcoma
SMARCC2	Cervix
SMARCE1	BoneMarrow
SMC1A	Blood
SMC1A	Breast
SMC1A	Colon
SMC1A	Embryo
SMC1A	Foreskin
SMC1A	Lung
SMC3	Blood
SMC3	BoneMarrow
SMC3	Brain
SMC3	Cervix
SMC3	Colon
SMC3	Embryo
SMC3	EmbryonicKidney
SMC3	Liver
SMC3	Lung
SNAPC1	Breast
SND1	Blood
SOX13	Liver
SOX2	Brain
SOX2	Colon
SOX2	Embryo
SOX2	Lung
SOX2	Skin
SOX2	Thyroid
SOX4	FetalLung
SOX9	Colon
SP1	Blood
SP1	BoneMarrow
SP1	Colon
SP1	Embryo
SP1	EmbryonicKidney
SP1	Liver
SP1	Lung
SP2	BoneMarrow
SP2	Colon
SP2	Embryo
SP2	EmbryonicKidney
SP3	EmbryonicKidney
SP4	Embryo
SP4	EmbryonicKidney
SP7	EmbryonicKidney
SPDEF	Lung
SPI1	Blood
SPI1	BoneMarrow
SPI1	Cervix
SPI1	Cordblood
SPI1	FetalLiver
SPI1	Kidney
SPI1	Liver
SPIB	BoneMarrow
SRC	Colon
SRC	MammaryGland
SRCAP	Blood
SREBF1	Blood
SREBF1	Breast
SREBF1	Liver
SREBF2	Blood
SRF	Blood
SRF	BoneMarrow
SRF	Breast
SRF	Colon
SRF	Embryo
SRF	Endometrium
SRF	Liver
SRF	Muscle
SSRP1	ConnectiveTissue
SSRP1	Liver
SSU72	Embryo
STAG1	Blood
STAG1	Breast
STAG1	Colon
STAG1	Embryo
STAG1	Liver
STAT1	Blood
STAT1	BoneMarrow
STAT1	Cervix
STAT2	Blood
STAT2	BoneMarrow
STAT2	Colon
STAT3	Blood
STAT3	BoneMarrow
STAT3	Breast
STAT3	Cervix
STAT3	Lung
STAT3	LymphNode
STAT3	PeritonealEffusion
STAT3	UmbilicalCord
STAT4	Blood
STAT5	Blood
STAT5A	Blood
STAT5A	BoneMarrow
STAT5B	Blood
SUMO1	Cervix
SUMO1	Lung
SUMO2	BoneMarrow
SUMO2	EmbryonicKidney
SUMO2	Lung
SUMO2	Prostate
SUPT5H	BoneMarrow
SUPT5H	Cervix
SUZ12	Blood
SUZ12	BoneMarrow
SUZ12	Embryo
SUZ12	FetalLiver
SUZ12	Pontine
